Date,Open,High,Low,Close*,Adj Close**,Volume
6/8/2023,"1,943.20",1969.00,1943.10,1963.60,1963.60,433.00
6/7/2023,"1,959.00",1968.40,1940.70,1942.70,1942.70,139.00
6/6/2023,"1,960.80",1965.50,1958.80,1965.50,1965.50,164.00
6/5/2023,"1,947.50",1961.90,1937.80,1958.00,1958.00,713.00
6/2/2023,"1,977.10",1982.50,1947.40,1952.40,1952.40,356.00
6/1/2023,"1,963.20",1983.00,1954.30,1978.00,1978.00,750.00
5/31/2023,"1,958.20",1973.00,1953.00,1963.90,1963.90,5959.00
5/30/2023,"1,942.70",1962.60,1931.00,1958.00,1958.00,37838.00
5/26/2023,"1,948.20",1948.40,1944.10,1944.10,1944.10,166036.00
5/25/2023,"1,943.10",1943.10,1943.10,1943.10,1943.10,1.00
5/24/2023,"1,975.40",1975.40,1962.80,1962.80,1962.80,189.00
5/23/2023,"1,972.40",1972.40,1972.40,1972.40,1972.40,1.00
5/22/2023,"1,980.50",1980.50,1974.80,1974.80,1974.80,8.00
5/19/2023,"1,960.00",1978.70,1960.00,1978.70,1978.70,106.00
5/18/2023,"1,956.50",1956.80,1956.50,1956.50,1956.50,23.00
5/17/2023,"1,983.60",1983.60,1980.70,1980.70,1980.70,13.00
5/16/2023,"1,988.40",1988.40,1988.40,1988.40,1988.40,49.00
5/15/2023,"2,013.80",2018.00,2013.80,2018.00,2018.00,3.00
5/12/2023,"2,014.50",2014.50,2014.50,2014.50,2014.50,115.00
5/11/2023,"2,034.10",2038.30,2014.00,2014.70,2014.70,90.00
5/10/2023,"2,032.30",2044.30,2029.50,2030.50,2030.50,248.00
5/9/2023,"2,026.60",2037.30,2025.90,2036.20,2036.20,241.00
5/8/2023,"2,022.50",2026.30,2022.50,2026.30,2026.30,3.00
5/5/2023,"2,046.40",2046.40,2004.30,2017.40,2017.40,59.00
5/4/2023,"2,045.00",2072.00,2040.00,2048.00,2048.00,930.00
5/3/2023,"2,017.10",2035.10,2015.20,2028.60,2028.60,1349.00
5/2/2023,"1,994.70",2018.00,1994.70,2014.30,2014.30,1896.00
5/1/2023,"1,980.10",2005.00,1976.90,1983.40,1983.40,210.00
4/28/2023,"1,986.90",1990.10,1977.70,1990.10,1990.10,152.00
4/27/2023,"1,990.60",2002.30,1979.90,1989.90,1989.90,355.00
4/26/2023,"1,997.80",1998.80,1985.60,1985.70,1985.70,615.00
4/25/2023,"1,995.70",1999.10,1982.30,1994.00,1994.00,306.00
4/24/2023,"1,981.30",1989.80,1977.40,1989.10,1989.10,145.00
4/21/2023,"1,996.20",1996.20,1974.10,1979.50,1979.50,132.00
4/20/2023,"1,998.00",2007.60,1998.00,2007.60,2007.60,164.00
4/19/2023,"2,005.70",2006.40,1969.80,1995.20,1995.20,61.00
4/18/2023,"1,996.90",2007.40,1996.90,2007.40,2007.40,72.00
4/17/2023,"2,002.70",2007.60,1983.20,1994.20,1994.20,554.00
4/14/2023,"2,041.00",2047.80,1995.00,2002.20,2002.20,718.00
4/13/2023,"2,015.60",2048.60,2015.60,2041.30,2041.30,1043.00
4/12/2023,"2,005.20",2025.70,2005.20,2010.90,2010.90,172.00
4/11/2023,"1,991.40",2006.50,1991.40,2004.80,2004.80,68.00
4/10/2023,"2,000.00",2006.60,1984.00,1989.10,1989.10,652.00
4/6/2023,"2,022.20",2023.30,2005.00,2011.90,2011.90,-
4/5/2023,"2,022.10",2033.80,2013.60,2020.90,2020.90,525.00
4/4/2023,"1,984.60",2027.10,1979.00,2022.20,2022.20,811.00
4/3/2023,"1,968.10",1991.70,1950.00,1983.90,1983.90,737.00
3/31/2023,"1,981.30",1986.80,1968.00,1969.00,1969.00,957.00
3/30/2023,"1,965.90",1984.40,1954.90,1980.30,1980.30,10119.00
3/29/2023,"1,966.10",1966.10,1966.10,1966.10,1966.10,88563.00
3/28/2023,"1,972.40",1972.40,1972.40,1972.40,1972.40,21.00
3/27/2023,"1,957.20",1957.20,1952.40,1952.40,1952.40,877.00
3/24/2023,"1,991.70",1995.40,1982.10,1982.10,1982.10,19.00
3/23/2023,"1,990.50",1994.60,1990.50,1993.80,1993.80,33.00
3/22/2023,"1,946.80",1974.00,1946.80,1946.80,1946.80,50.00
3/21/2023,"1,973.80",1973.80,1938.00,1938.00,1938.00,47.00
3/20/2023,"1,988.30",2003.90,1968.90,1979.20,1979.20,389.00
3/17/2023,"1,946.00",1985.10,1946.00,1969.80,1969.80,82.00
3/16/2023,"1,909.90",1931.70,1909.90,1919.00,1919.00,394.00
3/15/2023,"1,903.90",1926.60,1898.50,1926.60,1926.60,564.00
3/14/2023,"1,912.20",1912.20,1901.10,1906.20,1906.20,107.00
3/13/2023,"1,890.80",1913.10,1875.10,1911.70,1911.70,503.00
3/10/2023,"1,852.30",1868.50,1852.00,1862.00,1862.00,248.00
3/9/2023,"1,816.40",1829.30,1815.60,1829.30,1829.30,332.00
3/8/2023,"1,811.60",1812.90,1811.50,1812.70,1812.70,75.00
3/7/2023,"1,840.90",1840.90,1813.90,1813.90,1813.90,450.00
3/6/2023,"1,853.30",1853.80,1844.20,1847.90,1847.90,5.00
3/3/2023,"1,837.30",1855.40,1837.30,1847.70,1847.70,61.00
3/2/2023,"1,830.00",1836.30,1830.00,1833.50,1833.50,154.00
3/1/2023,"1,827.10",1841.70,1827.10,1837.70,1837.70,211.00
2/28/2023,"1,808.10",1830.00,1808.10,1828.90,1828.90,618.00
2/27/2023,"1,811.60",1817.50,1808.90,1817.00,1817.00,829.00
2/24/2023,"1,808.80",1808.80,1808.80,1808.80,1808.80,404.00
2/23/2023,"1,826.40",1827.50,1818.00,1818.00,1818.00,291.00
2/22/2023,"1,835.70",1836.20,1825.10,1832.00,1832.00,278.00
2/21/2023,"1,842.60",1843.00,1833.00,1833.00,1833.00,862.00
2/17/2023,"1,827.40",1842.20,1818.40,1840.40,1840.40,35.00
2/16/2023,"1,838.60",1843.70,1827.20,1842.00,1842.00,222.00
2/15/2023,"1,842.00",1842.00,1828.20,1834.20,1834.20,368.00
2/14/2023,"1,854.10",1862.00,1846.20,1854.00,1854.00,656.00
2/13/2023,"1,859.00",1861.00,1850.00,1851.90,1851.90,569.00
2/10/2023,"1,861.60",1863.50,1852.40,1862.80,1862.80,27.00
2/9/2023,"1,875.30",1884.60,1859.80,1866.20,1866.20,223.00
2/8/2023,"1,872.10",1880.40,1872.10,1877.40,1877.40,230.00
2/7/2023,"1,870.00",1875.70,1868.00,1871.70,1871.70,297.00
2/6/2023,"1,865.60",1880.00,1863.40,1866.20,1866.20,424.00
2/3/2023,"1,912.40",1917.00,1861.50,1862.90,1862.90,992.00
2/2/2023,"1,952.30",1959.10,1911.30,1916.30,1916.30,748.00
2/1/2023,"1,927.20",1955.00,1922.00,1927.80,1927.80,2290.00
1/31/2023,"1,923.00",1930.40,1900.60,1929.50,1929.50,1910.00
1/30/2023,"1,928.30",1933.60,1920.30,1922.90,1922.90,27220.00
1/27/2023,"1,928.60",1928.60,1928.60,1928.60,1928.60,150902.00
1/26/2023,"1,936.60",1937.10,1927.10,1929.10,1929.10,131.00
1/25/2023,"1,941.20",1941.20,1939.80,1941.20,1941.20,7.00
1/24/2023,"1,931.80",1936.80,1931.80,1933.90,1933.90,201.00
1/23/2023,"1,926.50",1927.10,1915.00,1927.10,1927.10,218.00
1/20/2023,"1,922.10",1928.50,1921.40,1926.40,1926.40,1346.00
1/19/2023,"1,922.10",1931.80,1922.10,1922.10,1922.10,371.00
1/18/2023,"1,911.10",1911.10,1903.10,1904.40,1904.40,1027.00
1/17/2023,"1,920.10",1920.10,1905.20,1907.20,1907.20,706.00
1/13/2023,"1,899.00",1920.90,1898.30,1918.40,1918.40,512.00
1/12/2023,"1,877.20",1897.40,1877.20,1895.50,1895.50,59.00
1/11/2023,"1,873.10",1877.80,1873.10,1874.60,1874.60,1236.00
1/10/2023,"1,877.80",1878.10,1871.60,1871.60,1871.60,101.00
1/9/2023,"1,867.00",1880.00,1867.00,1872.70,1872.70,62.00
1/6/2023,"1,838.40",1868.20,1835.30,1864.20,1864.20,26.00
1/5/2023,"1,855.20",1855.20,1834.80,1834.80,1834.80,24.00
1/4/2023,"1,845.60",1859.10,1845.60,1852.80,1852.80,25.00
1/3/2023,"1,836.20",1839.70,1836.20,1839.70,1839.70,29.00
12/30/2022,"1,817.00",1822.30,1816.80,1819.70,1819.70,95.00
12/29/2022,"1,805.80",1819.50,1805.80,1819.50,1819.50,277.00
12/28/2022,"1,803.20",1807.90,1803.10,1807.90,1807.90,434.00
