Week,Next Week Bitcoin Signal,Hash Rate (TH/s) 3-Week Moving Average,Normalized Bitcoin Week Close,Normalized NASDAQ Week Close,Events Sentiment,Number of Major Events,Growth Rate (B/s),Number of Unique Addresses,Average Block Size (MB),Inflation Rate (%),GDP Growth Rate (%),Unemployment Rate (%),Interest Rate (%),Stock Index Value
2017-08-21/2017-08-27,0,-0.3631590736692747,0.7619386030580532,-0.21060980516802172,-0.08039458017304148,6.238817842841723,0.43526231012614836,-1.717054414417017,0.5756694788133286,0.5585234708106405,0.12557519458059954,-0.8664890668175483,1.7215185490704956,1.4678284087345903
2017-08-28/2017-09-03,-1,-0.3631590736692747,0.7332085582453765,0.7466186015742279,3.601677191752257,3.0137855945104484,-0.4786930620170897,0.5823927253578187,0.5756694788133286,0.5585234708106405,0.12557519458059954,-0.8664890668175483,1.7215185490704956,1.4678284087345903
2017-09-04/2017-09-10,-1,1.6652172158493577,-1.1067094930271912,-1.4047732104603208,-0.08039458017304148,-0.2112466538208258,0.5584690346118883,0.5823927253578187,-1.7371079009805703,0.5585234708106405,0.12557519458059954,-0.8664890668175483,1.7215185490704956,1.4678284087345903
2017-09-11/2017-09-17,1,-0.3631590736692747,-1.0008056333748536,0.02708756118902805,-0.08039458017304148,-0.2112466538208258,0.37018255019613594,0.5823927253578187,0.5756694788133286,0.5585234708106405,0.12557519458059954,-0.8664890668175483,1.7215185490704956,1.4678284087345903
2017-09-18/2017-09-24,-1,-0.3631590736692747,-1.5354078334735168,-1.1372884050659777,-0.08039458017304148,-0.2112466538208258,0.6801233928803483,-1.717054414417017,0.5756694788133286,0.5585234708106405,0.12557519458059954,-0.8664890668175483,1.7215185490704956,1.4678284087345903
2017-09-25/2017-10-01,-1,-2.3915353631879066,0.7910460794404961,0.9319253269361838,-0.08039458017304148,-0.2112466538208258,-1.2843476628067143,0.5823927253578187,0.5756694788133286,0.2979608746427626,-1.3398209867781417,-0.21658545293372328,-1.0553374330909793,1.0531505221242845
2017-10-02/2017-10-08,1,-0.3631590736692747,0.525628757816396,0.8591290392088734,-0.08039458017304148,-0.2112466538208258,-0.1975640779022322,0.5823927253578187,-1.7371079009805703,0.2979608746427626,-1.3398209867781417,-0.21658545293372328,-1.0553374330909793,1.0531505221242845
2017-10-09/2017-10-15,-1,-2.3915353631879066,0.9739960408265499,0.8287058880599781,-0.08039458017304148,-0.2112466538208258,1.1225269879162203,0.5823927253578187,0.5756694788133286,0.2979608746427626,-1.3398209867781417,-0.21658545293372328,-1.0553374330909793,1.0531505221242845
2017-10-16/2017-10-22,-1,-0.3631590736692747,0.09402955282523212,0.577149129243228,-0.08039458017304148,-0.2112466538208258,-0.37824927313083456,-1.717054414417017,0.5756694788133286,0.2979608746427626,-1.3398209867781417,-0.21658545293372328,-1.0553374330909793,1.0531505221242845
2017-10-23/2017-10-29,-1,-0.3631590736692747,-0.19536032360110858,1.398625203906165,-0.08039458017304148,-0.2112466538208258,1.6210068622243665,0.5823927253578187,0.5756694788133286,0.2979608746427626,-1.3398209867781417,-0.21658545293372328,-1.0553374330909793,1.0531505221242845
